,lblKitaname,Telefon,lblTelefon
499229,Kita Alte Hellersdorfer Straße,030 94395077,3094395077
615379,Kita Am Beerenpfuhl,030 53677968,3053677968
2101,Kita Am Brennerberg,030 4723166,304723166
2753,Kita am Brosepark,030 4762672,304762672
254,Kita Am Bullengraben,030 33308430,3033308430
1840,"Kita Am Buschgraben
Ev. Kirchengem. Paulus",030 8027086,308027086
522379,Kita Am Dorfteich,030 68087424,3068087424
1183,Kita Am Flughafen Gatow,030 36899050,3036899050
262229,Kita Am Haselbusch,030 25565353,3025565353
429179,Kita am Jägerhof,030 80587121,3080587121
2473,Kita Am Karpfenteich,030 6249407,030624 94 07
2932,Kita am Kleistpark,030 78097890,03078 09 78 90
1868,Kita am Lassenpark/Kitas Süd-West,030 290276070,30290276070
2574,Kita am Lützowplatz 1,030 26101890,2610 1890
544429,Kita Am Maselakepark,030 339379290,30339379290
563229,Kita am Nettelbeckplatz,030 469064150,30469064150
585229,Kita am Nettelbeckplatz,030 469064150,30469064150
323,Kita am Park,030 85072810,03085 07 28 10
2722,Kita Am Rudolfplatz,030 29663078,3029663078
2882,Kita am Schlosspark,030 4855829,304855829
585279,Kita am See,030 92376717,3092376717
259,Kita am Spektesee,030 37586900,3037586900
673229,Kita am Südfeld,030 30882570,3030882570
194,Kita Am Treptower Park 76/77/Kitas SüdOst,030 5337615,030533 76 15
1329,Kita Am Volkspark/Kitas Süd-West,030 290276090,30290276090
1720,Kita am Wald,030 353052914,30353052914
613279,Kita am Wald,030 65489227,3065489227
836,Kita am Wegabogen,030 6721160,306721160
346129,Kita Am Zauberberg,030 41935200,3041935200
689,Kita An den Achterhöfen 1/Kitas SüdOst,030 7430140,030743 01 40
479129,Kita an der alten Kastanie,030 97606526,3097606526
1264,Kita An der Bäke/Kitas Süd-West,030 290276530,30290276530
2946,Kita an der BHT Berlin,030 939398490,03093939-8490
1838,Kita an der FU Berlin,030 939398470,939398470
1154,Kita An der Havelspitze 19/Kitas Nordwest,030 33779900,3033779900
659229,Kita an der Humboldt-Universität zu Berlin,030 939398620,03093939-8620
1181,Kita an der HWR Berlin,030 939398460,03093939-8460
901,Kita an der TU Berlin,030 939398450,03093939-8450
2943,Kita an der UdK,030 939398480,30939398480
1946,Kita An der Wuhlheide 180/Kitas SüdOst,030 5353440,035353440/5351444
1946,Kita An der Wuhlheide 180/Kitas SüdOst,030 5351444,035353440/5351444
537229,Kita Anderland,030 81618923,3081618923
405129,Kita Anton und Lola,030 92402910,3092402910
1099,Kita Apfelbande,030 3627028,030362 70 28
1500,Kita Apfelbäumchen,030 4335108,304335108
621229,Kita Apfelkern,0176 63144435,0176 63144435
2936,Kita Apfelsinenkiste/Ev. Kirchenkreis Neukölln,030 66090916,3066090916
632279,Kita Arbolitos,01578 8809010,0157 88809010
1740,Kita Arche Noah,030 3661456,030366 14 56
341179,Kita Archenholdstraße,030 50368180,3050368180
617229,Kita Arielle 2,030 62729166,0306272 9166
434129,Kita Arif und Alina,030 91443202,3091443202
344129,Kita Arlecchino,030 36751325,3036751325
970,Kita Asilo Italiano,030 8623038,308623038
603229,Kita auf 4 Pfoten,0172 4382258,0172 4382258
100065,Kita AUFGEPASST,030 81487133,3081487133
2988,Kita AUFGEPASST,030 89739680,3089739680
1449,Kita Auguste-Viktoria-Allee 97-98/Kitas Nordwest,030 409994880,30409994880
2826,Kita Augustenburger Platz,030 81799165,030817 99 165
285,Kita Aventura Nikolsburg,030 8618066,030861 80 66
959,Kita BABB Kreuzberg I,030 6119754,611 97 54
2740,Kita BABB Kreuzberg II,030 61289737,0306128 9737
2390,Kita Baerwaldstr. 18/Kigä City,030 32598128,3032598128
620,Kita Baikalstr. 2,030 5123080,030512 30 80
1987,Kita Balatonknirpse,030 5125080,305125080
83,Kita Bambinioase,030 4235658,304235658
333129,Kita Bananas,030 33308750,3033308750
141,Kita Bänschstr. 76/78/Kigä City,030 4269312,030426 93 12
354129,Kita Bänschstraße 24,030 26347401,3026347401
1883,Kita Barbarossastraße des Pestalozzi-Fröbel-Hauses,030 21730261,0302173 0261
622,Kita Bärenkinder,030 5122195,030512 21 95
2885,Kita Baseler Strasse,030 84728050,0308472 8050
416129,Kita BAZUBA KAMINKA,030 50596284,3050596284
663,Kita Beerenkinder,030 89569229,3089569229
1884,Kita Belziger Straße des Pestalozzi-Fröbel-Hauses,030 7819411,030781 94 11
181129,Kita Berliner Kindheit,030 24637827,3024637827
481129,Kita Berliner Kindheit,030 44038270,3044038270
417129,Kita Berliner Pandabären,0176 99390881,0176 99390881
764,Kita Berliner Spatzen,030 6267578,030626 75 78
2953,"Kita Berliner Spatzen Verein zur
Förderung der Mehrsprachigkeit",030 85073406,3085073406
1202,Kita Bernhard-Lichtenberg-Str. 20/Kitas Nordwest,030 367024690,30367024690
452,Kita Bernkasteler Str. 9/10/Kigä NordOst,030 9252148,309252148
289129,Kita Beselerstraße,030 76804767,3076804767
555229,Kita Bethaniendamm,030 695399970,0306953999-70
412129,Kita bewegte Kinder,030 69818804,3069818804
2756,Kita Bewegungsreich,030 4234861,030423 48 61
259129,Kita Bienchen,030 66774910,3066774910
387179,Kita Bienchen Prenzlauer Berg,030 95609270,3095609270
2898,Kita Biesdorfer Kindertagesstätte Sonne,030 5423012,03054 230 12
2724,Kita Biesdorfer Zwergenhaus,030 5143870,305143870
2309,Kita Birkelinchen/Ev. Kirchengem. Heilige-Geist,030 3961079,303961079
413129,Kita Bismarckstraße,0177 4796171,0177 4796171
2727,Kita Blankenburger Wichtel,030 47481906,3047481906
560279,Kita Blissestraße,0176 54291506,17654291506
159129,Kita Blohmstraße,030 70176511,0307017 6511
231129,Kita Blumenkinder,030 28472144,3028472144
223179,Kita Blumenstadt,030 92259310,3092259310
1713,Kita Blumenstr.,030 337749311,0303377  49311
100042,Kita Blumentraum,030 30609585,0303060 9585
1322,Kita Boelckestraße,030 74684760,0307468 4760
1369,Kita Böhmische Str. 1-5Kitas SüdOst,030 68392647,0306839-2647
1949,Kita Bölschestr. 29/Kitas SüdOst,030 6451831,030645 18 31
691,Kita Bornsdorfer Str. 37b/Kitas SüdOst,030 56825694,56825694
1323,Kita Bosestr. 12/Kitas Süd-West,030 290276010,30290276010
2731,Kita Breitensteinweg,030 84591871,03084 59 18 71
531229,Kita Brighella,030 39839557,3039839557
781,Kita Brittendorfer Weg 16/Hs 1u.2/Kitas Süd-West,030 290276180,30290276180
1408,Kita Britz Dorf,030 6064600,306064600
552229,Kita Brunnengarten,030 25806723,3025806723
491229,Kita Bruno-Bauer-Straße,030 7483082,307483082
404129,Kita Bruno-Bauer-Straße 22,030 857487720,03085 74 877 20
359,Kita Brüsseler Straße,030 4541884,304541884
549229,Kita Bucher Spatzen,030 94795746,3094795746
2110,Kita Buchholz,030 4742569,304742569
2069,Kita Bühringstr. 21/23/Kigä NordOst,030 47907480,3047907480
604,Kita Bülowstraße,030 23630630,030236 30 630
527279,Kita Bunte Burg,030 4431237155,0304431237-155
2042,Kita Bunte Plonzstifte,030 5592163,305592163
252129,Kita Bunte Sonne,030 85613933,"030856139-33, -34, -35"
252129,Kita Bunte Sonne,030 85613934,"030856139-33, -34, -35"
252129,Kita Bunte Sonne,030 85613935,"030856139-33, -34, -35"
2778,Kita Bunter Stern,030 46067089,0304606 7089
237,Kita Buntstift,030 55669693,0305566 9693
644229,Kita Bürgerheimstraße,030 71556945,3071556945
1127,Kita Busonistr.145/Kigä NordOst,030 94381100,3094381100
308129,Kita Canicas,030 33008515,03033 00 85 15
100045,Kita CASA AZUL - MAISON BLEUE,030 8520056,308520056
2689,Kita Cavalo-Marinho/Portubi e.V.,030 48491840,4849 1840
2825,Kita Charlottes Spatzenkinder,030 9252714,030925 27 14
439179,Kita Cheburashka - Wisbyer Straße,030 95619222,3095619222
202129,Kita Cheburashka-Pankow,030 48814180,3048814180
394129,Kita Cheburashka-Prenzlauer Berg,030 95616294,3095616294
100039,Kita Cheburashka-Tiergarten,030 39886617,3039886617
589229,Kita Chumani - IKT Stadtindianer,030 76007931,3076007931
493229,Kita Clarino,030 23361224,3023361224
400129,Kita Clownfisch,030 44702618,3044702618
736,Kita Colbestr.9 - 13,030 27571453,3027571453
359129,Kita Columbus,030 68328310,3068328310
498,Kita Container,030 4156081,304156081
588479,Kita Cotheniusstrolche,030 65778868,3065778868
1188,Kita Crellestr. 16/17/Kitas Süd-West,030 290276020,30290276020
486279,Kita Cunostraße,030 33986520,3033986520
2395,Kita Cuvrystr. 26a/Oppelner Str. 21/Kigä City,030 22502421,0302250 2421
282,Kita d.Ev.Kirchengem. Heilig Kreuz-Passion/VH,030 6912499,306912499
1286,Kita d.Ev.Kirchengem.Paulus/Haus vorn rechts,030 84493215,0308449 3215
1903,Kita Dachsbau,030 2142994,030214 29 94
2561,Kita Dachskinder,030 34393794,3034393794
1779,Kita Daniel,030 863909911,30863909911
591379,Kita Das Schneckenhäuschen,030 42806264,3042806264
767,Kita Das tapfere Schneiderlein,030 5099245,305099245
2769,Kita DASI,030 6455676,306455676
2467,Kita der Basisgemeinde Prenzl.Berg,030 44739712,3044739712
364,Kita der Bayer Pharma AG,030 46812018,3046812018
264179,Kita der Bildungsraum,030 89630738,3089630738
1478,Kita der Ev. Dorf-Gemeinde Heiligensee,030 4312863,030431 28 63
684,Kita der Ev. Felsen-Kirchengem.,030 4022045,402 20 45
1663,Kita der Ev. Friedensgem. Charlottenburg,030 3024829,030302 48 29
2952,Kita der ev. KG Am Groß-Glienicker See,030 36509213,030365 092 13
1887,Kita der Ev. Kirchengem Königin-Luise-Gedächtnis,030 7841335,784 13 35
1975,Kita der Ev. Kirchengem Köpenick,030 6571461,030657 14 61
207,Kita der Ev. Kirchengem. Adlershof,030 6774536,677 45 36
766,Kita der Ev. Kirchengem. Alt-Lichtenberg,030 55487932,0305548 7932
2109,Kita der Ev. Kirchengem. Alt-Pankow,030 47534963,4753 4963
683,Kita der Ev. Kirchengem. Alt-Reinickendorf,030 4951860,030495 18 60
1479,Kita der Ev. Kirchengem. Alt-Tegel,030 4339675,030433 96 75
475,Kita der Ev. Kirchengem. Alt-Wittenau,030 4112311,411 23 11
1483,Kita der Ev. Kirchengem. Alt-Wittenau,030 4142740,030414 27 40
233,Kita der Ev. Kirchengem. Altglienicke,030 6729459,030672 94 59
1748,Kita der Ev. Kirchengem. Am Falkenhagener Feld u.Am Germesheimer Platz,030 3727096,030372 70 96
392,Kita der Ev. Kirchengem. Am Lietzensee,030 32671805,0303267 1805
1484,Kita der Ev. Kirchengem. Am Seggeluchbecken,030 4031179,030403 11 79
1891,Kita der Ev. Kirchengem. Apostel-Paulus,030 7815121,781 51 21
171,Kita der Ev. Kirchengem. Auferstehung,030 4291986,429 19 86
734,Kita der Ev. Kirchengem. Bartholomäus,030 2478923,030247 89 23
1340,Kita der Ev. Kirchengem. Berlin Mariendorf-Süd,030 7413010,030741 30 10
1973,Kita der Ev. Kirchengem. Berlin-Friedrichshagen,030 6451857,030645 18 57
1342,Kita der Ev. Kirchengem. Berlin-Mariendorf,030 7063309,030706 33 09
688,Kita der Ev. Kirchengem. Biesdorf,030 5143916,514 39 16
1488,Kita der Ev. Kirchengem. Borsigwalde,030 43774397,4377 4397
1976,Kita der Ev. Kirchengem. Christuskirche Oberschöneweide,030 5353015,535 30 15
1839,Kita der Ev. Kirchengem. Dahlem,030 8312112,030831 21 12
566,Kita der Ev. Kirchengem. Dahlem,030 84170520,0308417 0520
1284,Kita der Ev. Kirchengem. Dietrich-Bonhoeffer,030 7728053,030772 80 53
1285,Kita der Ev. Kirchengem. Dreifaltigkeit,030 7746035,030774 60 35
2418,Kita der Ev. Kirchengem. Emmaus-Ölberg,030 61693217,030616932-17
1661,Kita der Ev. Kirchengem. Epiphanien,030 44722461,44 72 24 61
1844,Kita der Ev. Kirchengem. Ernst-Moritz-Arndt,030 8134653,030813 46 53
474,Kita der Ev. Kirchengem. Frohnau,030 4014106,030401 41 06
1664,Kita der Ev. Kirchengem. Gustav-Adolf,030 3442068,030344 20 68
2279,Kita der Ev. Kirchengem. Hellersdorf,030 9986120,030998 61 20
681,Kita der Ev. Kirchengem. Hoffnung,030 4720319,472 03 19
120,Kita der Ev. Kirchengem. Immanuel,030 44039164,0304403 9164
2420,Kita der Ev. Kirchengem. Jesus-Christus,030 2163087,030216 30 87
1282,Kita der Ev. Kirchengem. Johannes,030 8333593,030833 35 93
1778,Kita der Ev. Kirchengem. Kaiser-Wilhelm-Gedächtnis,030 23608033,0302360 8033
2280,Kita der Ev. Kirchengem. Kaulsdorf,030 5678880,030567 88 80
502,Kita der Ev. Kirchengem. Klosterfelde,030 3725857,030372 58 57
837,Kita der Ev. Kirchengem. Konradshöhe-Tegelort,030 43663999,4366 3999
1337,Kita der Ev. Kirchengem. Lichtenrade,030 7458004,030745 80 04
682,Kita der Ev. Kirchengem. Lübars,030 4026615,402 66 15
1659,Kita der Ev. Kirchengem. Luisen,030 3418450,030341 84 50
410,Kita der Ev. Kirchengem. Lukas,030 7911148,030791 11 48
756,Kita der Ev. Kirchengem. Mariendorf -Ost,030 7036925,703 69 25
579,Kita der Ev. Kirchengem. Markus,030 79783420,0307978 3420
2139,Kita der Ev. Kirchengem. Marzahn,030 5413055,030541 30 55
411,Kita der Ev. Kirchengem. Matthäus,030 8346002,030834 60 02
1738,Kita der Ev. Kirchengem. Melanchthon,030 3622281,030362 22 81
1658,Kita der Ev. Kirchengem. Neu-Westend,030 3040538,030304 05 38
1088,Kita der Ev. Kirchengem. Nikolassee,030 80197640,3080197640
1287,Kita der Ev. Kirchengem. Patmos,030 7914678,030791 46 78
1292,Kita der Ev. Kirchengem. Paul-Schneider,030 7753919,030775 39 19
1843,Kita der Ev. Kirchengem. Paulus,030 80983244,03080983-244
1978,Kita der Ev. Kirchengem. Rahnsdorf,030 6489044,030648 90 44
565,Kita der Ev. Kirchengem. Schönow-Buschgraben,030 8153755,030815 37 55
667,Kita der Ev. Kirchengem. Silas,030 7814457,781 44 57
2308,Kita der Ev. Kirchengem. St. Johannis,030 39889094,3039889094
2573,Kita der Ev. Kirchengem. St. Nicolai,030 35102375,3035102375
395,Kita der Ev. Kirchengem. St. Nikolai,030 3335863,030333 58 63
1739,Kita der Ev. Kirchengem. Staaken-Gartenstadt,030 3662291,030366 22 91
2416,Kita der Ev. Kirchengem. Tabor,030 69534385,0306953 4385
1490,Kita der Ev. Kirchengem. Tegel-Süd,030 4326152,432 61 52
1662,Kita der Ev. Kirchengem. Trinitatis,030 31868516,030318685-16
400,Kita der Ev. Kirchengem. Vaterunser,030 8215801,030821 58 01
1743,Kita der Ev. Kirchengem. Weihnacht-Haselhorst,030 3348737,030334 87 37
2072,Kita der Ev. Kirchengem. Weißensee,030 9266045,0309266045/92373780
2072,Kita der Ev. Kirchengem. Weißensee,030 92373780,0309266045/92373780
1746,Kita der Ev. Kirchengem. Wichern,030 3351995,030335 19 95
1060,Kita der Ev. Kirchengem. Wittenau,030 41705116,3041705116
1081,Kita der Ev. Kirchengem. zu Staaken,030 22194148,3022194148
1157,Kita der Ev. Kirchengem. Zuflucht / Spandauer Spatzen,030 37584361,3037584361
2111,Kita der Ev. Kirchengem.Martin-Luther,030 4857973,485 79 73
2025,Kita der Ev. Kirchengem.Paul-Gerhardt-Lichtenbg,030 5220851,030522 08 51
1776,Kita der Ev. Kirchengemeinde Linden,030 82792238,0308279 2238
2883,Kita der Ev. Kirchengemeinde Wannsee,030 80109762,03080 10 97 62
724,Kita der Ev. Kreuz-Gemeinde Schmargendorf,030 8255434,030825 54 34
1482,Kita der Ev. Luther Kirchengem. Alt-Reinickendorf,030 4556000,030455 60 00
2364,Kita der Ev. Osterkirchengem.,030 4543559,454 35 59
1338,Kita der Ev. Paulus-Kirchengem. Tempelhof,030 7861771,307861771
679,Kita der Ev. St.-Laurentius-Kirchengem. Köpenick,030 6554449,030655 44 49
1499,Kita der Ev.-methodistischen Kirche,030 4332054,433 20 54
672,Kita der Evangelische Paulus-Kirchengemeinde,030 8345954,030834 59 54
172129,Kita der Friedrichshainer Zwerge,030 24323648,3024323648
725,"Kita der GFJ - gem.Gesellschaft 
für Familien- und Jugendhilfe",030 2824496,302824496
547,Kita der Humboldt-Universität zu Berlin,030 20931984,0302093 1984
1164,"Kita der Johann-Sebastian-Bach
Kirchengemeinde",030 28833413,3028833413
930,Kita der Jüdischen Gemeinde zu Berlin,030 8916748,030891 67 48
644,Kita der Kath. Kirchengem. Corpus Christi,030 4254284,304254284
104,Kita der Kath. Kirchengem. Heilige Familie,030 4441216,304441216
806,Kita der Kath. Kirchengem. Herz Jesu,030 44389415,3044389415
550,Kita der Kath. Kirchengem. Herz Jesu,030 7523662,307523662
1495,Kita der Kath. Kirchengem. Herz-Jesu,030 4337024,304337024
1845,Kita der Kath. Kirchengem. Herz-Jesu,030 8158832,308158832
1298,Kita der Kath. Kirchengem. Johannes Evangelist,030 7961756,307961756
2281,Kita der Kath. Kirchengem. Kaulsdorf St. Martin,030 56496709,3056496709
414,Kita der Kath. Kirchengem. Maria Frieden,030 7062691,307062691
590,Kita der Kath. Kirchengem. Maria Gnaden,030 4046714,0304046714 o. 40509081
590,Kita der Kath. Kirchengem. Maria Gnaden,030 40509081,0304046714 o. 40509081
1293,Kita der Kath. Kirchengem. St. Benedikt,030 7717781,307717781
1493,Kita der Kath. Kirchengem. St. Bernhard,030 4324916,304324916
653,Kita der Kath. Kirchengem. St. Canisius,030 3216474,303216474
772,Kita der Kath. Kirchengem. St. Christophorus,030 6234037,306234037
423,Kita der Kath. Kirchengem. St. Clara,030 6865213,306865213
1419,Kita der Kath. Kirchengem. St. Dominicus,030 6043090,306043090
668,Kita der Kath. Kirchengem. St. Elisabeth,030 7811359,307811359
2888,Kita der Kath. Kirchengem. St. Georg,030 47534477,3047534477
1496,Kita der Kath. Kirchengem. St. Hildegard,030 4015854,304015854
457,Kita der Kath. Kirchengem. St. Josef,030 9246498,309246498
1417,Kita der Kath. Kirchengem. St. Joseph,030 6631622,306631622
503,Kita der Kath. Kirchengem. St. Joseph-Siemensstadt,030 3341113,303341113
1668,Kita der Kath. Kirchengem. St. Kamilus,030 3221507,030322 15 07
2313,Kita der Kath. Kirchengem. St. Laurentius,030 39783815,3039783815
1782,Kita der Kath. Kirchengem. St. Ludwig,030 8837000,308837000
396,Kita der Kath. Kirchengem. St. Marien,030 3337343,303337343
711,Kita der Kath. Kirchengem. St. Marien,030 4956095,304956095
1749,Kita der Kath. Kirchengem. St. Markus,030 3735491,303735491
572,Kita der Kath. Kirchengem. St. Matthias,030 2151212,0302151212 o. 21913821
572,Kita der Kath. Kirchengem. St. Matthias,030 21913821,0302151212 o. 21913821
2023,Kita der Kath. Kirchengem. St. Mauritius,030 55152047,3055152047
1087,Kita der Kath. Kirchengem. St. Michael,030 49807597,3049807597
1091,Kita der Kath. Kirchengem. St. Nikolaus,030 41478414,3041478414
1893,Kita der Kath. Kirchengem. St. Norbert,030 7812306,307812306
1894,Kita der Kath. Kirchengem. St. Norbert,030 8557082,308557082
1420,Kita der Kath. Kirchengem. St. Richard,030 6845725,306845725
1092,Kita der Kath. Kirchengem. St. Rita,030 41708130,3041708130
2366,Kita der Kath. Kirchengem. St. Sebastian,030 4635971,304635971
1345,Kita der Kath. Kirchengem. Vom Guten Hirten,030 7112273,307112273
1084,Kita der Kath. Kirchengem. von der Auferstehung Christi,030 7752808,307752808
1846,Kita der Kath. Kirchengem. Zu den hl. Zwölf Aposteln,030 8013633,308013633
1343,Kita der Kath. Kirchengemeinde,030 7864895,307864895
1344,Kita der Kath. Kirchengemeinde Vom Guten Hirten,030 7227061,030722 70 61
700,Kita Der Kinder-Garten in der Schwedenstraße,030 48478836,3048478836
2443,Kita der Schwedischen Victoriagemeinde,030 86495929,3086495929
2893,Kita Der Theaterkindergarten,030 78006884,0307800 6884
526229,Kita Derfflingerstraße,030 72017327,3072017327
2446,"Kita des Auswärtigen Amtes
(NUR für Bedienstete des Auswärtigen Amtes)",01888 173856,1888173856
100076,"Kita des Bundesministeriums für Familie, 
Senioren, Frauen und Jugend",030 206551396,30206551396
698,Kita des Deutschen Bundestages,030 22733395,030227-33395
155179,Kita DETI,030 76233844,03076233844/45
155179,Kita DETI,030 76233845,03076233844/45
1291,"Kita Diakoniewerk der 
Ev.-Freikirchl. Gem. - Baptisten",030 7921002,307921002
2419,"Kita Die Arche
Ev. Kirchengem. Heilig Kreuz-Passion",030 6912499,306912499
586229,Kita Die Bärenbande,030 94043452,3094043452
1176,Kita Die Insel,030 47471988,3047471988
167,KITA Die kleinen Entdecker,030 22502155,3022502155
648229,Kita Die kleinen Entdecker,030 91208741,3091208741
395129,Kita Die kleinen Frösche,030 74394999,3074394999
278129,KITA Die kleinen Füchse,030 65075230,3065075230
1301,Kita Die Kobolde (Wohneinheit rechts),030 8341477,030834 14 77
1535,Kita Die Möwe,030 6019029,306019029
588379,Kita Die Palmeninsel,030 12024774,3012024774
2976,Kita Die Plänter/WeG gGmbH,030 6249407,030624 94 07
1034,Kita Die Röländer,030 94381103,030943 811 03
487229,Kita Die wilden Küken,030 93628330,3093628330
362129,Kita Die Wuhlewanderer,030 51488240,3051488240
574229,Kita Dietzgen-Strolche,030 20093499,3020093499
1324,Kita Domagkstr. 4/Kitas Süd-West,030 290276030,30290276030
484,Kita Dorfstr. 37 (Malchow)/Kigä NordOst,030 9250219,309250219
2172,Kita Dorfstr. 4A (Wartenberg)/Kigä NordOst,030 9293185,309293185
2173,Kita Dorfstr. 5 (Falkenberg)/Kigä NordOst,030 9324146,309324146
198,Kita Dornbrunner Str. 17/Kitas SüdOst,030 5326842,030532 68 42
265129,Kita Dorothea,030 34624672,3034624672
478129,Kita Drachenhöhle,030 12029698,3012029698
769,Kita Dreieinigkeit,030 33776241,3033776241
581,Kita Dreikäse-Hoch (Wohneinheit links),030 76769834,0307676 9834
645,Kita Dreikäsehoch,030 4246174,304246174
2396,Kita Dresdener Straße,030 69503790,030695 03 790
64,Kita Drieselmäuse,030 4454368,304454368
1377,Kita Drosselbartstr. 6/Kitas SüdOst,030 68059114,0306805 9114
2787,Kita Du und Ich,030 56823640,3056823640
1076,Kita Düsseldorfer Str. 53A/Kitas Nordwest,030 8811057,308811057
335129,Kita Dussmann,030 20252121,305471
265,Kita Ebersstr. 19/Kitas Süd-West,030 290276040,30290276040
538279,Kita Ebersstraße,030 8524088,030852 40 88
552329,Kita Edgar Berlin,030 52668662,3052668662
2340,Kita Edinburger Str. 38/Kigä City,030 4524291,304524291
465,Kita Eichborndamm,030 41190891,0304119 0891
2187,Kita Eichhörnchen,030 9864154,309864154
2766,KITA Eichkater,030 6489426,306489426
2113,Kita EigenSinn,030 4711014,304711014
2801,Kita Eigensinn,030 56295079,3056295079
298179,Kita Eins,030 49988899,3049988899
1116,"Kita el caracol
bilingualer Kindergarten spanisch/deutsch",030 8731502,308731502
1799,"Kita el caracol
bilingualer Kindergarten spanisch/deutsch",030 8731502,308731502
2678,"Kita el caracol
bilingualer Kindergarten spanisch/deutsch",030 8731502,308731502
103129,"Kita el caracol 
bilingualer Kindergarten spanisch/deutsch",030 8731502,308731502
474129,Kita El jardin de Federico,0176 55534246,17655534246
451129,Kita Elfenbein,030 34507967,3034507967
118,Kita Elias,030 4422405,442 24 05
543229,Kita Elisabethstift,030 31162957,3031162957
221129,Kita Elternverein für Bildung und Erziehung,030 69516797,3069516797
1555,Kita Emdener Str.,030 3951367,303951367
2297,Kita Emdener Str. 11/Kigä City,030 39408573,3039408573
380229,Kita EMMAAPFEL,030 54849986,3054849986
1981,Kita Emrichstr. 51/Kitas SüdOst,030 64197809,0306419 7809
795,Kita Emser Str. 81-82/Kitas SüdOst,030 627287880,0306272 8788-0
591229,Kita Engelchen und Teufelchen,030 98353657,3098353657
615329,Kita Engelsnest,030 49085470,3049085470
148,Kita Entdeckerland,030 29666850,3029666850
1225,Kita Entdeckerland,030 94632729,3094632729
2003,Kita Entdeckerland,030 9751008,309751008
588329,Kita Entdeckerzwerge,0173 6179609,0300173 6179609
628329,Kita Erdmännchen,030 66527870,3066527870
701,Kita Erich-Weinert-Str. 33/Kigä NordOst,030 4454055,304454055
1951,Kita Erknerstr. 46/Kitas SüdOst,030 6489339,030648 93 39
2880,Kita Erlenhof,030 297734932,30297734932
466,Kita Ernststr. 78-82/Kitas Nordwest,030 43091585,3043091585
531279,Kita Ernststraße 4 - 8,030 43207062,03043207062/34394705
531279,Kita Ernststraße 4 - 8,030 34394705,03043207062/34394705
1186,Kita Eulenspiegel -  Mittelhof e.V.,030 8612767,030861 27 67
347,Kita Ev. Diakoniewerk Königin Elisabeth,030 54725051,3054725051
1747,Kita Ev. Johannesstift,030 33609643,3033609643
1842,Kita Ev. Luth. St.Marien-Gem.,030 80903014,3080903014
909,Kita Exerzierstr. 32a/Kigä City,030 4925650,304925650
1,Kita F.A.I.R.play,030 2816473,030281 64 73
647229,Kita Familienfarm Lübars,030 40507198,3040507198
2295,Kita Fantasia,030 39895301,0303989 5301
625,Kita Farbklecks,030 57797260,030577 97 260
784,Kita Fehlerstr. 2/Kitas Süd-West,030 290276050,30290276050
262179,Kita Felix and Friends,030 63103614,3063103614
610,Kita Feuerwache,030 70079852,3070079852
1554,Kita Fichtestr. 5-9,030 405099790,03040509979-0/-30
1554,Kita Fichtestr. 5-9,030 4050997930,03040509979-0/-30
325,Kita Filandastr. 27/Kitas Süd-West,030 290276190,30290276190
1288,Kita Filia Griechisch-deutsche Kindertagesstätte,030 7911760,030791 17 60
1326,Kita Finchleystraße,030 76766096,030767 66 096
507229,Kita FindeFuchs,030 26034184,3026034184
538229,Kita Fine Turbine,030 37446553,3037446553
2725,Kita Finkelsteinstraße,030 5621188,305621188
2225,Kita Fiorella,030 9294079,309294079
782,Kita Flanaganstr. 45/Kitas Süd-West,030 290276500,30290276500
2733,Kita Fliegeberg,030 7117084,030711 70 84
268,Kita Flurweg,030 6616081,030661 60 81
2906,Kita Focus FAMILIE,030 62008787,03062 00 87 87/88
2906,Kita Focus FAMILIE,030 62008788,03062 00 87 87/88
308179,Kita Fontanepromenade,030 69004577,3069004577
2083,Kita Fontanestr. 83/Kigä NordOst,030 9164786,309164786
1262,Kita Forststr. 40/Kitas Süd-West,030 290276510,30290276510
2631,Kita Forumhaus,030 4155828,304155828
1863,Kita Frankenstraße,030 23627570,030236 27 570
2685,Kita Französisch Buchholz,030 47487522,4748 7522
8,Kita Französische Str. 16a u. 16b,030 2089214,302089214
587229,Kita Freche Fledermäuse Pankow,030 44907279,3044907279
98,Kita Freche Früchtchen,030 4458817,445 88 17
168,Kita Fredersdorfer Str. 6/Kigä City,030 29770410,3029770410
1864,Kita Fregestr.,030 85073940,0308507 3940
1299,Kita Fregestraße,030 85986620,03085 98 66 20
2342,Kita Freienwalder Str. 19c/Kigä City,030 4946612,304946612
1865,Kita Freiherr-vom-Stein-Straße,030 81487801,03081 48 78 01
1866,Kita Fri-Willi/Kitas Süd-West,030 290276060,30290276060
100056,Kita Frieda Kirschkern/Kirschkern e.V.,030 41716643,03041 71 66 43
1574,Kita Frobenstr. 75/Kitas Süd-West,030 290276520,30290276520
277,Kita Frohnauer Straße,030 4040444,304040444
2434,Kita Fuggerstaße,030 21964564,0302196 4564
49,Kita Fürstenberger Str. 4/5/Kigä City,030 4496657,304496657
496229,Kita Gäblerstraße,0179 6151771,0179 6151771
530229,Kita Galileo,030 49897600,3049897600
1162,Kita Galvanistraße,030 3429718,303429718
454179,Kita Gan Israel 2,030 21280832,3021280832
2593,Kita Gänseblümchen,030 50019123,0305001 9123
2719,Kita Gänseblümchen,030 81058115,030810 581 15
1232,Kita Gänseblümchen,030 96202330,3096202330
352,Kita Gartenstr. 107/Kigä City,030 2828337,302828337
