,lblKitaname,Telefon,lblTelefon
1504,EKT - Die Entdecker (1),030 4553638,030455 36 38
100001,EKT - Die Entdecker (2),030 88496421,3088496421
578229,EKT - Die Entdecker (III),030 88496421,3088496421
1507,EKT - Die Igelkinder,030 40571224,3040571224
1205,EKT - Die kleinen Chaoten,030 45803777,3045803777
1812,EKT - Die Lauser,030 8543415,308543415
1913,EKT - Die Meckerbeine,030 7822580,307822580
2518,EKT - Die Ministerne,030 23138863,3023138863
2485,EKT - Die Pankis,030 91422212,9142 2212
1151,EKT - Die Panzerknacker,030 6928864,306928864
1761,EKT - Die Seeburg,030 3324424,303324424
941,EKT - Dinglhopper,030 6057261,306057261
1804,EKT - Donnerbagger,030 8732982,308732982
1559,EKT - Doppelpünktchen,030 4556960,304556960
339,EKT - Dreiecke und Kreise,030 3362094,336 20 94
914,EKT - Droysen-Mäuse,030 3231613,303231613
866,EKT - Drunter und Drüber,030 3258128,303258128
2327,EKT - Drunter und Drüber,030 3951860,303951860
394,EKT - Eichhörnchen,030 3016926,303016926
655,EKT - Eichkatzweg,030 3018968,303018968
885,EKT - Einstürzende Bauklötze,030 6249854,306249854
1508,EKT - Ententeich,030 4018026,401 80 26
124,EKT - Erdnuckel,030 4420285,442 02 85
1588,EKT - Fajam,030 6157500,615 75 00
1571,EKT - Finowkids,030 8815796,308815796
1707,EKT - Firlefanz,030 3246521,324 65 21
412,EKT - Fliegenpilz,030 7918051,307918051
656,EKT - Flitzpiepen,030 3239163,323 91 63
2373,EKT - Flohzirkus Wedding,030 4948076,304948076
1254,EKT - Frechdachs,030 2139484,302139484
2316,EKT - Frecher Spatz,030 3914540,391 45 40
341,EKT - Friedenauer Elterninitiative,030 8551054,308551054
993,EKT - Gesellschaft f.intern.Kultur- u.Bildungsarbeit,030 34504564,3034504564
2752,EKT - Grüne Wolke,030 42022190,3042022190
1620,EKT - Kalle Kirschkern e.V.,030 6937136,693 71 36
723,EKT - Karamell,030 3425046,030342 50 46
1698,EKT - Kartoffelladen,030 3216235,303216235
1437,EKT - Kasperle,030 7431442,743 14 42
549,EKT - Kasymir,030 7912827,307912827
902,EKT - Katzbach-Piraten,030 7855540,030785 55 40
662,EKT - Kiga für musische und sprachliche Erziehung,030 8737670,308737670
2372,EKT - Kila Spatzenkinder,030 4655897,304655897
1609,EKT - Kinder einer Erde,030 6118014,030611 80 14
2445,EKT - Kinder Sorpresa,030 48493634,0304849 3634
346,EKT - Kinderbegegnungsstätte Atatürk,030 3227864,030322 7864
191,EKT - Kinderbüro,030 2926120,302926120
1200,EKT - Kinderfan,030 6232395,623 23 95
657,EKT - Kindergarten am Schloß Charlottenburg,030 3427060,303427060
1190,EKT - Kindergarten am Schloß Charlottenburg,030 3427060,342 70 60
1544,EKT - Kindergarten am Schloß Charlottenburg,030 3427060,303427060
1929,EKT - Kindergruppe Bunte Knospe,030 7846400,307846400
1523,EKT - Kindergruppe Hasensprung,030 8263200,308263200
1677,EKT - Kindergruppe Lassymoss,030 3017791,303017791
1800,EKT - Kinderhaus Binger Straße,030 8215091,308215091
1757,EKT - Kinderhaus Gruberzeile,030 3354072,335 40 72
1861,EKT - Kinderhaus Schönow,030 8156038,030815 60 38
812,EKT - Kinderhaus Waldemar Elterninitiative,030 6141029,614 10 29
2387,EKT - Kinderhütte Wiesenstraße,030 4659100,465 91 00
1678,EKT - Kinderladen - was sonst,030 3245643,324 56 43
1684,EKT - Kinderladen 1 Goethestraße (EG rechts),030 3123309,312 33 09
2334,EKT - Kinderladen Badehaus,030 3946069,030394 60 69
1622,EKT - Kinderladen Bande,030 6119894,611 98 94
2695,EKT - Kinderladen Goethestraße (EG links),030 3123309,312 33 09
650,EKT - Kinderladen Luftabong,030 7868430,786 84 30
297,EKT - Kinderladen Muko,030 6186824,030618 68 24
529,EKT - Kinderladen Pimpinella,030 6251578,625 15 78
348,EKT - Kinderladen Villa Honighut,030 9252776,030925 27 76
1319,EKT - Kinderladen Zweitausendfüßler,030 7954773,795 47 73
583,EKT - Kinderladeninitiative Tempelhof,030 7055256,705 52 56
2669,"EKT - Kinderland ""Biene Maja""",030 6731347,673 13 47
1351,EKT - Kinderspielkreis Alboinplatz,030 7535078,030753 50 78
1598,EKT - Kindervilla Waldemar,030 617790913,0306177 90 913
1817,EKT - Kissi,030 8236995,030823 69 95
1431,EKT - Kita Karlsgartenstraße,030 6218931,621 89 31
1348,EKT - Kita-Verein Lichtenrade Ost,030 7463166,746 31 66
