Senats-id,lblKitaname,Telefon,lblTelefon
414,Kita der Kath. Kirchengem. Maria Frieden,030 7062691,307062691
415,EKT - Villa Wackelzahn,030 75764484,0307576 4484
416,EKT - Kita-Verein Lichtenrade Ost - Groß-Ziethener-Str. 96,030 7454096,745 40 96
417,Die Kindergärtnerei,030 70787717,3070787717
420,Ev. Kita Brüdergemeinde,030 6863231,060686 32 31
421,Ev. Kita Dreieinigkeit,030 6616168,306616168
422,Ev. Kita Tabea,030 84857130,3084857130
423,Kita der Kath. Kirchengem. St. Clara,030 6865213,306865213
425,"EKT - ""Micky Maus"" Verein z.Errichtung u.Betreibung v.EKT¿s e.V.",030 6816271,030681 62 71
430,Humanistische Kita Am Park,030 6316699,030631 66 99
433,Humanistische Kita Adlershofer Marktspatzen,030 6774209,030677 42 09
440,Kita Richterstr. 2a/Kitas SüdOst,030 6729178,030672 91 78
441,Kita Sterndamm 214/214A/Kitas SüdOst,030 6364092,0306364092/6364095
441,Kita Sterndamm 214/214A/Kitas SüdOst,030 6364095,0306364092/6364095
442,Kita Zur Teutonenburg,030 6729560,306729560
445,Humanistische Kita Dreikäsehoch,030 6717033,030671 70 33
446,Kita Alt Müggelheim 10/Kitas SüdOst,030 6598945,030659 89 45/55
446,Kita Alt Müggelheim 10/Kitas SüdOst,030 6598955,030659 89 45/55
449,Kita Mahlower Str. 5-7/Kitas SüdOst,030 6516700,306516700
450,Kita Offensiv' 91/Pablo-Neruda-Str. 12 -13,030 6540007,030654 00 07
452,Kita Bernkasteler Str. 9/10/Kigä NordOst,030 9252148,309252148
456,Kita Roelckespatzen,030 9252369,309252369
457,Kita der Kath. Kirchengem. St. Josef,030 9246498,309246498
462,Kita Wichtelhaus/Kigä NordOst,030 4784981,304784981
463,BOOT-Kita Uhlandzwerge,030 9167930,309167930
465,Kita Eichborndamm,030 41190891,0304119 0891
466,Kita Ernststr. 78-82/Kitas Nordwest,030 43091585,3043091585
467,Kindertagesstätte Humboldtstraße,030 4967072,304967072
468,Kindertagesstätte Markgrafenstraße,030 406079980,30406079980
469,Kita Ollenhauer Str.,030 4968057,030496 80 57
471,Kita Krümelkiste,030 4161170,304161170
472,Kindertagesstätte Treuenbrietzener Straße,030 41406527,3041406527
474,Kita der Ev. Kirchengem. Frohnau,030 4014106,030401 41 06
475,Kita der Ev. Kirchengem. Alt-Wittenau,030 4112311,411 23 11
476,Kita Kinderhaus Katz und Maus/Kigä NordOst,030 9352060,309352060
480,Kita Knirpsenhaus,030 9330912,309330912
484,Kita Dorfstr. 37 (Malchow)/Kigä NordOst,030 9250219,309250219
486,Kita Neustrelitzer Str. 32-34/Kigä NordOst,030 9713443,309713443
493,Kita Springmäuse,030 9917152,309917152
495,Kita  Baumelbaum,030 5616105,030561 61 05
497,Kita Taffy,030 9909392,309909392
498,Kita Container,030 4156081,304156081
499,EKT - Zwergenland,030 7515350,751 53 50
500,Kita Kiezpiraten,030 6948992,030694 89 92
501,Kita Hoppetosse/Kitas Nordwest,030 36996960,3036996960
502,Kita der Ev. Kirchengem. Klosterfelde,030 3725857,030372 58 57
503,Kita der Kath. Kirchengem. St. Joseph-Siemensstadt,030 3341113,303341113
504,Ev. Kita Alt-Schmargendorf,030 8231410,030823 14 10
507,Ev. Kita Schlachtensee,030 8026092,030802 60 92
508,EKT Gänseblümchen,030 4514024,304514024
509,EKT Lankwitz,030 7725056,307725056
510,Kita Perelsplatz des Pestalozzi-Fröbel-Hauses,030 8513500,030851 35 00
511,Kita Unter den Eichen 129a/Kitas Süd-West,030 290276620,30290276620
512,EKT - Ringelbande,030 7920895,307920895
516,Kindertagesstätte Helin,030 6827849,030682 78 49
518,Kita Wildensteiner Str. 3/Kigä NordOst,030 5098418,305098418
520,EiKiTa Pünktchen,030 3421017,342 10 17
521,Kinderhaus Waldschulallee,030 3017422,030301 74 22
522,"FRÖBEL Kindergarten ""Schatzinsel""",030 2013788,201 37 88
528,EKT - Wir um vier,030 8913998,891 39 98
529,EKT - Kinderladen Pimpinella,030 6251578,625 15 78
530,EKT Orgelpfeifen,030 6870339,306870339
533,Kita Montessorihaus,030 5610171,030561 01 71
534,EKT - Nestwärme,030 61076022,3061076022
537,AWO-Kita Landstadt Gatow,030 36996990,0303699 6990
538,Kita Kinder in Bewegung (KiB),030 33773950,3033773950
542,Kita Tabaluga/Kitas Nordwest,030 35499040,3035499040
543,Kita Tausendfühler/Kitas Nordwest,030 36479501,3036479501
544,Kita Haveleck,030 35132091,3035132091
547,Kita der Humboldt-Universität zu Berlin,030 20931984,0302093 1984
548,EKT Konfetti,030 2157366,302157366
549,EKT - Kasymir,030 7912827,307912827
550,Kita der Kath. Kirchengem. Herz Jesu,030 7523662,307523662
551,Kita Pusteblume,030 6555401,306555401
552,AWO Kita Rosa Marzipan,030 4634137,463 41 37
553,AWO Kita Sonnenblume,030 4556650,030455 66 50
554,EKT Guten Tag Kinder,030 6913932,306913932
555,"EKT - CIP City-Initiative f. Eltern- 
und Kinder-Projekte",030 54469766,3054469766
557,AWO-Kita Kladow,030 3652094,303652094
559,Kita St. Albertus Magnus/Kath. Kirchengem. St. Ludwig,030 89069400,0308906 9400
561,EKT Hildegarten,030 8539160,308539160
